unicode
ᰥ
᰷
ᰤ
ᰧ
ᰩ
ᰨ
ᰬ
ᰪ
ᰦ
ᰫ
ᰱ
ᰮ
ᰰ
ᰳ
ᰵ
ᰭ
ᰯ
ᰲ
ᰶ
