alphabet,consonant,signs
0,᥆ ,
1,᥇ ,
2,᥈ ,
3,᥉ ,
4,᥊ ,
5,᥋ ,
6,᥌ ,
7,᥍ ,
8,᥎ ,
9,᥏,
- ,,᤻
;,ᤛ,
[,,ᤧ
],,ᤣ
{,,ᤦ
},,ᤤ
<,[,
>,],
_,-,
^,#,
`,,᤺ᤡ
¿,,᤺ᤡ
a,ᤒ,
A,s,
b,ᤍ,
B,;,
c,ᤀ,
C,,᤹
d,ᤔ,
D,,ᤶ
e,ᤓ,
E,{,
F,ᤖ,
f,,ᤠ
g,ᤏ,
G,,ᤴ
h,ᤈ,
H,“,
i,ᤅ,
I,,ᤱ
j,ᤘ,
J,,ᤫ
K,,ᤵ
k ,ᤐ,
l,,ᤡ
L,,ᤢ
m,ᤑ,
M,,᤺
n,ᤗ,
N,,ᤸ
o,ᤕ,
O,,ᤩ
P,ᤄ,
p,ᤇ,
q,,ᤪ
Q,<,
r,ᤆ,
R,},
s,ᤁ,
S,,ᤰ
t,ᤋ,
T,,ᤳ
u,ᤃ,
U,,ᤷ
v,ᤂ,
V,,ᤲ
w,ᤎ,
W,>,
x,ᤜ,
X,,ᤥ
y,ᤌ,
Y,',
z,ᤙ,
Z,᥅,
