unicode
ᤩ
ᤧ
ᤪ
ᤫ
ᤠ
ᤡ
ᤣ
ᤦ
ᤤ
ᤢ
ᤲ 
ᤱ
᤻
ᤥ
᤹
ᤴ
ᤶ
ᤵ
᤺
ᤸ
ᤰ
ᤳ
ᤷ
'
