unicode
ᰥ
᰷
ᰧ
ᰤ
ᰩ
ᰨ
ᰬ
ᰪ
ᰦ
ᰫ
ᰱ
ᰮ
ᰰ
ᰳ
ᰵ
ᰭ
ᰯ
ᰲ
ᰶ
